Country Name,Country Code,Parameters,Year,Value,Country Group
South Africa,ZAF,GDP growth (annual %),1972,1.65,BRICS
Brazil,BRA,GDP growth (annual %),1972,11.94,BRICS
United States,USA,GDP growth (annual %),1972,5.26,G7
United Kingdom,GBR,GDP growth (annual %),1972,4.32,G7
Italy,ITA,GDP growth (annual %),1972,3.69,G7
Canada,CAN,GDP growth (annual %),1972,5.52,G7
Japan,JPN,GDP growth (annual %),1972,8.41,G7
France,FRA,GDP growth (annual %),1972,4.51,G7
Germany,DEU,GDP growth (annual %),1972,4.3,G7
India,IND,GDP per capita (current US$),1972,122.62,BRICS
Russian Federation,RUS,GDP per capita (current US$),1972,7105.15,BRICS
China,CHN,GDP per capita (current US$),1972,131.89,BRICS
South Africa,ZAF,GDP per capita (current US$),1972,1034.49,BRICS
Brazil,BRA,GDP per capita (current US$),1972,6495.78,BRICS
United States,USA,GDP per capita (current US$),1972,6094.02,G7
United Kingdom,GBR,GDP per capita (current US$),1972,3030.43,G7
Italy,ITA,GDP per capita (current US$),1972,2671.14,G7
Canada,CAN,GDP per capita (current US$),1972,5106.74,G7
Japan,JPN,GDP per capita (current US$),1972,3031.44,G7
France,FRA,GDP per capita (current US$),1972,3865.93,G7
Germany,DEU,GDP per capita (current US$),1972,3809.98,G7
India,IND,GDP per capita growth (annual %),1972,-2.74,BRICS
Russian Federation,RUS,GDP per capita growth (annual %),1972,0.84,BRICS
China,CHN,GDP per capita growth (annual %),1972,1.29,BRICS
South Africa,ZAF,GDP per capita growth (annual %),1972,-1.21,BRICS
Brazil,BRA,GDP per capita growth (annual %),1972,9.25,BRICS
United States,USA,GDP per capita growth (annual %),1972,4.13,G7
United Kingdom,GBR,GDP per capita growth (annual %),1972,3.97,G7
Italy,ITA,GDP per capita growth (annual %),1972,3.1,G7
Canada,CAN,GDP per capita growth (annual %),1972,4.3,G7
Japan,JPN,GDP per capita growth (annual %),1972,6.91,G7
France,FRA,GDP per capita growth (annual %),1972,3.61,G7
Germany,DEU,GDP per capita growth (annual %),1972,3.8,G7
India,IND,Gross savings (% of GDP),1972,25.7,BRICS
Russian Federation,RUS,Gross savings (% of GDP),1972,27.76,BRICS
China,CHN,Gross savings (% of GDP),1972,42.07,BRICS
South Africa,ZAF,Gross savings (% of GDP),1972,27.08,BRICS
Brazil,BRA,Gross savings (% of GDP),1972,17.54,BRICS
United States,USA,Gross savings (% of GDP),1972,22.11,G7
United Kingdom,GBR,Gross savings (% of GDP),1972,22.11,G7
Italy,ITA,Gross savings (% of GDP),1972,24.78,G7
Canada,CAN,Gross savings (% of GDP),1972,21.32,G7
Japan,JPN,Gross savings (% of GDP),1972,28.86,G7
France,FRA,Gross savings (% of GDP),1972,22.63,G7
Germany,DEU,Gross savings (% of GDP),1972,24.98,G7
India,IND,Imports of goods and services (% of GDP),1972,3.71,BRICS
Russian Federation,RUS,Imports of goods and services (% of GDP),1972,22.43,BRICS
China,CHN,Imports of goods and services (% of GDP),1972,2.57,BRICS
South Africa,ZAF,Imports of goods and services (% of GDP),1972,19.31,BRICS
Brazil,BRA,Imports of goods and services (% of GDP),1972,8.86,BRICS
United States,USA,Imports of goods and services (% of GDP),1972,5.8,G7
United Kingdom,GBR,Imports of goods and services (% of GDP),1972,20.73,G7
Italy,ITA,Imports of goods and services (% of GDP),1972,15.51,G7
Canada,CAN,Imports of goods and services (% of GDP),1972,20.64,G7
Japan,JPN,Imports of goods and services (% of GDP),1972,7.83,G7
France,FRA,Imports of goods and services (% of GDP),1972,15.85,G7
Germany,DEU,Imports of goods and services (% of GDP),1972,16.18,G7
India,IND,"Inflation, consumer prices (annual %)",1972,6.44,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1972,61.16,BRICS
China,CHN,"Inflation, consumer prices (annual %)",1972,4.77,BRICS
South Africa,ZAF,"Inflation, consumer prices (annual %)",1972,6.43,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1972,280.27,BRICS
United States,USA,"Inflation, consumer prices (annual %)",1972,3.27,G7
United Kingdom,GBR,"Inflation, consumer prices (annual %)",1972,7.07,G7
Italy,ITA,"Inflation, consumer prices (annual %)",1972,5.75,G7
Canada,CAN,"Inflation, consumer prices (annual %)",1972,4.99,G7
Japan,JPN,"Inflation, consumer prices (annual %)",1972,4.84,G7
France,FRA,"Inflation, consumer prices (annual %)",1972,6.06,G7
Germany,DEU,"Inflation, consumer prices (annual %)",1972,5.48,G7
India,IND,Population ages 65 and above (% of total population),1972,3.69,BRICS
Russian Federation,RUS,Population ages 65 and above (% of total population),1972,8.2,BRICS
China,CHN,Population ages 65 and above (% of total population),1972,3.78,BRICS
South Africa,ZAF,Population ages 65 and above (% of total population),1972,3.6,BRICS
Brazil,BRA,Population ages 65 and above (% of total population),1972,3.3,BRICS
United States,USA,Population ages 65 and above (% of total population),1972,9.98,G7
United Kingdom,GBR,Population ages 65 and above (% of total population),1972,13.42,G7
Italy,ITA,Population ages 65 and above (% of total population),1972,11.55,G7
Canada,CAN,Population ages 65 and above (% of total population),1972,8.13,G7
Japan,JPN,Population ages 65 and above (% of total population),1972,7.48,G7
France,FRA,Population ages 65 and above (% of total population),1972,13.17,G7
Germany,DEU,Population ages 65 and above (% of total population),1972,14.12,G7
India,IND,Population growth (annual %),1972,2.23,BRICS
Russian Federation,RUS,Population growth (annual %),1972,0.57,BRICS
China,CHN,Population growth (annual %),1972,2.46,BRICS
South Africa,ZAF,Population growth (annual %),1972,2.86,BRICS
Brazil,BRA,Population growth (annual %),1972,2.43,BRICS
United States,USA,Population growth (annual %),1972,1.07,G7
United Kingdom,GBR,Population growth (annual %),1972,0.34,G7
Italy,ITA,Population growth (annual %),1972,0.57,G7
Canada,CAN,Population growth (annual %),1972,1.16,G7
Japan,JPN,Population growth (annual %),1972,1.4,G7
France,FRA,Population growth (annual %),1972,0.86,G7
Germany,DEU,Population growth (annual %),1972,0.48,G7
India,IND,"Population, total",1972,582837973.0,BRICS
Russian Federation,RUS,"Population, total",1972,131909000.0,BRICS
China,CHN,"Population, total",1972,862030000.0,BRICS
South Africa,ZAF,"Population, total",1972,23698507.0,BRICS
Brazil,BRA,"Population, total",1972,101194394.0,BRICS
United States,USA,"Population, total",1972,209896000.0,G7
United Kingdom,GBR,"Population, total",1972,56086065.0,G7
Italy,ITA,"Population, total",1972,54381345.0,G7
Canada,CAN,"Population, total",1972,22218463.0,G7
Japan,JPN,"Population, total",1972,107188000.0,G7
France,FRA,"Population, total",1972,52637888.0,G7
Germany,DEU,"Population, total",1972,78688452.0,G7
India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1972,7.67,BRICS
Russian Federation,RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1972,7.17,BRICS
China,CHN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1972,4.04,BRICS
South Africa,ZAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1972,21.57,BRICS
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1972,9.47,BRICS
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1972,5.84,G7
United Kingdom,GBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1972,6.26,G7
Italy,ITA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1972,9.87,G7
Canada,CAN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1972,7.81,G7
Japan,JPN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1972,3.72,G7
France,FRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1972,9.69,G7
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1972,6.92,G7
India,IND,Current account balance (% of GDP),1973,-1.13,BRICS
Russian Federation,RUS,Current account balance (% of GDP),1973,5.66,BRICS
China,CHN,Current account balance (% of GDP),1973,2.15,BRICS
South Africa,ZAF,Current account balance (% of GDP),1973,-0.78,BRICS
Brazil,BRA,Current account balance (% of GDP),1973,-1.95,BRICS
United States,USA,Current account balance (% of GDP),1973,0.53,G7
United Kingdom,GBR,Current account balance (% of GDP),1973,-1.25,G7
Italy,ITA,Current account balance (% of GDP),1973,-1.62,G7
Canada,CAN,Current account balance (% of GDP),1973,-1.56,G7
Japan,JPN,Current account balance (% of GDP),1973,2.81,G7
France,FRA,Current account balance (% of GDP),1973,-0.01,G7
Germany,DEU,Current account balance (% of GDP),1973,1.05,G7
India,IND,"Fertility rate, total (births per woman)",1973,5.4,BRICS
Russian Federation,RUS,"Fertility rate, total (births per woman)",1973,2.01,BRICS
China,CHN,"Fertility rate, total (births per woman)",1973,4.73,BRICS
South Africa,ZAF,"Fertility rate, total (births per woman)",1973,5.41,BRICS
Brazil,BRA,"Fertility rate, total (births per woman)",1973,4.65,BRICS
United States,USA,"Fertility rate, total (births per woman)",1973,1.88,G7
United Kingdom,GBR,"Fertility rate, total (births per woman)",1973,2.04,G7
Italy,ITA,"Fertility rate, total (births per woman)",1973,2.3,G7
Canada,CAN,"Fertility rate, total (births per woman)",1973,1.89,G7
Japan,JPN,"Fertility rate, total (births per woman)",1973,2.14,G7
France,FRA,"Fertility rate, total (births per woman)",1973,2.28,G7
Germany,DEU,"Fertility rate, total (births per woman)",1973,1.54,G7
India,IND,"Foreign direct investment, net inflows (% of GDP)",1973,0.04,BRICS
Russian Federation,RUS,"Foreign direct investment, net inflows (% of GDP)",1973,1.65,BRICS
China,CHN,"Foreign direct investment, net inflows (% of GDP)",1973,2.52,BRICS
South Africa,ZAF,"Foreign direct investment, net inflows (% of GDP)",1973,0.08,BRICS
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",1973,2.63,BRICS
United States,USA,"Foreign direct investment, net inflows (% of GDP)",1973,0.14,G7
United Kingdom,GBR,"Foreign direct investment, net inflows (% of GDP)",1973,1.41,G7
Italy,ITA,"Foreign direct investment, net inflows (% of GDP)",1973,0.38,G7
Canada,CAN,"Foreign direct investment, net inflows (% of GDP)",1973,2.42,G7
Japan,JPN,"Foreign direct investment, net inflows (% of GDP)",1973,-0.01,G7
France,FRA,"Foreign direct investment, net inflows (% of GDP)",1973,0.43,G7
Germany,DEU,"Foreign direct investment, net inflows (% of GDP)",1973,0.53,G7
India,IND,"Foreign direct investment, net outflows (% of GDP)",1973,0.28,BRICS
Russian Federation,RUS,"Foreign direct investment, net outflows (% of GDP)",1973,1.76,BRICS
China,CHN,"Foreign direct investment, net outflows (% of GDP)",1973,0.63,BRICS
South Africa,ZAF,"Foreign direct investment, net outflows (% of GDP)",1973,0.16,BRICS
Brazil,BRA,"Foreign direct investment, net outflows (% of GDP)",1973,0.55,BRICS
United States,USA,"Foreign direct investment, net outflows (% of GDP)",1973,0.66,G7
United Kingdom,GBR,"Foreign direct investment, net outflows (% of GDP)",1973,2.59,G7
Italy,ITA,"Foreign direct investment, net outflows (% of GDP)",1973,0.16,G7
Canada,CAN,"Foreign direct investment, net outflows (% of GDP)",1973,0.88,G7
Japan,JPN,"Foreign direct investment, net outflows (% of GDP)",1973,0.43,G7
France,FRA,"Foreign direct investment, net outflows (% of GDP)",1973,0.35,G7
Germany,DEU,"Foreign direct investment, net outflows (% of GDP)",1973,0.49,G7
India,IND,GDP (current US$),1973,85517673173.0,BRICS
Russian Federation,RUS,GDP (current US$),1973,1034400000000.0,BRICS
China,CHN,GDP (current US$),1973,139000000000.0,BRICS
South Africa,ZAF,GDP (current US$),1973,33262772008.0,BRICS
Brazil,BRA,GDP (current US$),1973,1260147058823.53,BRICS
United States,USA,GDP (current US$),1973,1430000000000.0,G7
United Kingdom,GBR,GDP (current US$),1973,193000000000.0,G7
Italy,ITA,GDP (current US$),1973,175000000000.0,G7
Canada,CAN,GDP (current US$),1973,132000000000.0,G7
Japan,JPN,GDP (current US$),1973,441000000000.0,G7
France,FRA,GDP (current US$),1973,264000000000.0,G7
Germany,DEU,GDP (current US$),1973,398000000000.0,G7
India,IND,GDP growth (annual %),1973,3.3,BRICS
Russian Federation,RUS,GDP growth (annual %),1973,0.81,BRICS
China,CHN,GDP growth (annual %),1973,7.76,BRICS
South Africa,ZAF,GDP growth (annual %),1973,4.57,BRICS
Brazil,BRA,GDP growth (annual %),1973,13.97,BRICS
United States,USA,GDP growth (annual %),1973,5.65,G7
United Kingdom,GBR,GDP growth (annual %),1973,6.52,G7
Italy,ITA,GDP growth (annual %),1973,7.13,G7
Canada,CAN,GDP growth (annual %),1973,6.73,G7
Japan,JPN,GDP growth (annual %),1973,8.03,G7
France,FRA,GDP growth (annual %),1973,6.34,G7
Germany,DEU,GDP growth (annual %),1973,4.78,G7
India,IND,GDP per capita (current US$),1973,143.46,BRICS
Russian Federation,RUS,GDP per capita (current US$),1973,7105.15,BRICS
China,CHN,GDP per capita (current US$),1973,157.09,BRICS
South Africa,ZAF,GDP per capita (current US$),1973,1364.21,BRICS
Brazil,BRA,GDP per capita (current US$),1973,6495.78,BRICS
United States,USA,GDP per capita (current US$),1973,6726.36,G7
United Kingdom,GBR,GDP per capita (current US$),1973,3426.28,G7
Italy,ITA,GDP per capita (current US$),1973,3205.25,G7
Canada,CAN,GDP per capita (current US$),1973,5858.33,G7
Japan,JPN,GDP per capita (current US$),1973,4061.01,G7
France,FRA,GDP per capita (current US$),1973,4984.2,G7
Germany,DEU,GDP per capita (current US$),1973,5046.76,G7
India,IND,GDP per capita growth (annual %),1973,1.0,BRICS
Russian Federation,RUS,GDP per capita growth (annual %),1973,0.84,BRICS
China,CHN,GDP per capita growth (annual %),1973,5.33,BRICS
South Africa,ZAF,GDP per capita growth (annual %),1973,1.64,BRICS
Brazil,BRA,GDP per capita growth (annual %),1973,11.25,BRICS
United States,USA,GDP per capita growth (annual %),1973,4.64,G7
United Kingdom,GBR,GDP per capita growth (annual %),1973,6.32,G7
Italy,ITA,GDP per capita growth (annual %),1973,6.4,G7
Canada,CAN,GDP per capita growth (annual %),1973,5.43,G7
Japan,JPN,GDP per capita growth (annual %),1973,6.52,G7
France,FRA,GDP per capita growth (annual %),1973,5.51,G7
Germany,DEU,GDP per capita growth (annual %),1973,4.45,G7
India,IND,Gross savings (% of GDP),1973,25.7,BRICS
Russian Federation,RUS,Gross savings (% of GDP),1973,27.76,BRICS
China,CHN,Gross savings (% of GDP),1973,42.07,BRICS
South Africa,ZAF,Gross savings (% of GDP),1973,30.43,BRICS
Brazil,BRA,Gross savings (% of GDP),1973,17.54,BRICS
United States,USA,Gross savings (% of GDP),1973,23.79,G7
United Kingdom,GBR,Gross savings (% of GDP),1973,22.92,G7
Italy,ITA,Gross savings (% of GDP),1973,24.98,G7
Canada,CAN,Gross savings (% of GDP),1973,23.4,G7
Japan,JPN,Gross savings (% of GDP),1973,28.86,G7
France,FRA,Gross savings (% of GDP),1973,22.63,G7
Germany,DEU,Gross savings (% of GDP),1973,24.7,G7
India,IND,Imports of goods and services (% of GDP),1973,4.72,BRICS
Russian Federation,RUS,Imports of goods and services (% of GDP),1973,22.43,BRICS
China,CHN,Imports of goods and services (% of GDP),1973,3.8,BRICS
South Africa,ZAF,Imports of goods and services (% of GDP),1973,19.46,BRICS
Brazil,BRA,Imports of goods and services (% of GDP),1973,9.01,BRICS
United States,USA,Imports of goods and services (% of GDP),1973,6.4,G7
United Kingdom,GBR,Imports of goods and services (% of GDP),1973,24.76,G7
Italy,ITA,Imports of goods and services (% of GDP),1973,17.96,G7
Canada,CAN,Imports of goods and services (% of GDP),1973,21.6,G7
Japan,JPN,Imports of goods and services (% of GDP),1973,9.47,G7
France,FRA,Imports of goods and services (% of GDP),1973,16.88,G7
Germany,DEU,Imports of goods and services (% of GDP),1973,16.35,G7
India,IND,"Inflation, consumer prices (annual %)",1973,16.94,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1973,61.16,BRICS
China,CHN,"Inflation, consumer prices (annual %)",1973,4.77,BRICS
South Africa,ZAF,"Inflation, consumer prices (annual %)",1973,9.43,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1973,280.27,BRICS
United States,USA,"Inflation, consumer prices (annual %)",1973,6.18,G7
United Kingdom,GBR,"Inflation, consumer prices (annual %)",1973,9.2,G7
Italy,ITA,"Inflation, consumer prices (annual %)",1973,10.8,G7
Canada,CAN,"Inflation, consumer prices (annual %)",1973,7.49,G7
Japan,JPN,"Inflation, consumer prices (annual %)",1973,11.61,G7
France,FRA,"Inflation, consumer prices (annual %)",1973,7.38,G7
Germany,DEU,"Inflation, consumer prices (annual %)",1973,7.03,G7
India,IND,Population ages 65 and above (% of total population),1973,3.73,BRICS
Russian Federation,RUS,Population ages 65 and above (% of total population),1973,8.44,BRICS
China,CHN,Population ages 65 and above (% of total population),1973,3.82,BRICS
South Africa,ZAF,Population ages 65 and above (% of total population),1973,3.64,BRICS
Brazil,BRA,Population ages 65 and above (% of total population),1973,3.36,BRICS
United States,USA,Population ages 65 and above (% of total population),1973,10.11,G7
United Kingdom,GBR,Population ages 65 and above (% of total population),1973,13.62,G7
Italy,ITA,Population ages 65 and above (% of total population),1973,11.76,G7
Canada,CAN,Population ages 65 and above (% of total population),1973,8.24,G7
Japan,JPN,Population ages 65 and above (% of total population),1973,7.67,G7
France,FRA,Population ages 65 and above (% of total population),1973,13.29,G7
Germany,DEU,Population ages 65 and above (% of total population),1973,14.37,G7
India,IND,Population growth (annual %),1973,2.25,BRICS
Russian Federation,RUS,Population growth (annual %),1973,0.57,BRICS
China,CHN,Population growth (annual %),1973,2.28,BRICS
South Africa,ZAF,Population growth (annual %),1973,2.85,BRICS
Brazil,BRA,Population growth (annual %),1973,2.41,BRICS
United States,USA,Population growth (annual %),1973,0.95,G7
United Kingdom,GBR,Population growth (annual %),1973,0.19,G7
Italy,ITA,Population growth (annual %),1973,0.68,G7
Canada,CAN,Population growth (annual %),1973,1.22,G7
Japan,JPN,Population growth (annual %),1973,1.41,G7
France,FRA,Population growth (annual %),1973,0.79,G7
Germany,DEU,Population growth (annual %),1973,0.31,G7
India,IND,"Population, total",1973,596107483.0,BRICS
Russian Federation,RUS,"Population, total",1973,132669000.0,BRICS
China,CHN,"Population, total",1973,881940000.0,BRICS
South Africa,ZAF,"Population, total",1973,24382513.0,BRICS
Brazil,BRA,"Population, total",1973,103666904.0,BRICS
United States,USA,"Population, total",1973,211909000.0,G7
United Kingdom,GBR,"Population, total",1973,56194527.0,G7
Italy,ITA,"Population, total",1973,54751406.0,G7
Canada,CAN,"Population, total",1973,22491777.0,G7
Japan,JPN,"Population, total",1973,108707000.0,G7
France,FRA,"Population, total",1973,53053660.0,G7
Germany,DEU,"Population, total",1973,78936666.0,G7
India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1973,7.67,BRICS
Russian Federation,RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1973,7.17,BRICS
China,CHN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1973,4.04,BRICS
South Africa,ZAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1973,21.57,BRICS
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1973,9.47,BRICS
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1973,5.84,G7
United Kingdom,GBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1973,6.26,G7
Italy,ITA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1973,9.87,G7
Canada,CAN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1973,7.81,G7
Japan,JPN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1973,3.72,G7
France,FRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1973,9.69,G7
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1973,6.92,G7
India,IND,Current account balance (% of GDP),1974,-1.13,BRICS
Russian Federation,RUS,Current account balance (% of GDP),1974,5.66,BRICS
China,CHN,Current account balance (% of GDP),1974,2.15,BRICS
South Africa,ZAF,Current account balance (% of GDP),1974,-3.47,BRICS
Brazil,BRA,Current account balance (% of GDP),1974,-1.95,BRICS
United States,USA,Current account balance (% of GDP),1974,0.11,G7
United Kingdom,GBR,Current account balance (% of GDP),1974,-3.61,G7
Italy,ITA,Current account balance (% of GDP),1974,-4.14,G7
Canada,CAN,Current account balance (% of GDP),1974,-2.84,G7
Japan,JPN,Current account balance (% of GDP),1974,2.81,G7
France,FRA,Current account balance (% of GDP),1974,-0.01,G7
Germany,DEU,Current account balance (% of GDP),1974,2.04,G7
India,IND,"Fertility rate, total (births per woman)",1974,5.33,BRICS
Russian Federation,RUS,"Fertility rate, total (births per woman)",1974,2.0,BRICS
China,CHN,"Fertility rate, total (births per woman)",1974,4.17,BRICS
South Africa,ZAF,"Fertility rate, total (births per woman)",1974,5.3,BRICS
Brazil,BRA,"Fertility rate, total (births per woman)",1974,4.5,BRICS
United States,USA,"Fertility rate, total (births per woman)",1974,1.84,G7
United Kingdom,GBR,"Fertility rate, total (births per woman)",1974,1.92,G7
Italy,ITA,"Fertility rate, total (births per woman)",1974,2.28,G7
Canada,CAN,"Fertility rate, total (births per woman)",1974,1.84,G7
Japan,JPN,"Fertility rate, total (births per woman)",1974,2.05,G7
France,FRA,"Fertility rate, total (births per woman)",1974,2.18,G7
Germany,DEU,"Fertility rate, total (births per woman)",1974,1.51,G7
India,IND,"Foreign direct investment, net inflows (% of GDP)",1974,0.06,BRICS
Russian Federation,RUS,"Foreign direct investment, net inflows (% of GDP)",1974,1.65,BRICS
China,CHN,"Foreign direct investment, net inflows (% of GDP)",1974,2.52,BRICS
South Africa,ZAF,"Foreign direct investment, net inflows (% of GDP)",1974,1.68,BRICS
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",1974,2.63,BRICS
United States,USA,"Foreign direct investment, net inflows (% of GDP)",1974,0.23,G7
United Kingdom,GBR,"Foreign direct investment, net inflows (% of GDP)",1974,2.12,G7
Italy,ITA,"Foreign direct investment, net inflows (% of GDP)",1974,0.3,G7
Canada,CAN,"Foreign direct investment, net inflows (% of GDP)",1974,2.31,G7
Japan,JPN,"Foreign direct investment, net inflows (% of GDP)",1974,0.04,G7
France,FRA,"Foreign direct investment, net inflows (% of GDP)",1974,0.65,G7
Germany,DEU,"Foreign direct investment, net inflows (% of GDP)",1974,0.49,G7
India,IND,"Foreign direct investment, net outflows (% of GDP)",1974,0.28,BRICS
Russian Federation,RUS,"Foreign direct investment, net outflows (% of GDP)",1974,1.76,BRICS
China,CHN,"Foreign direct investment, net outflows (% of GDP)",1974,0.63,BRICS
South Africa,ZAF,"Foreign direct investment, net outflows (% of GDP)",1974,0.28,BRICS
Brazil,BRA,"Foreign direct investment, net outflows (% of GDP)",1974,0.55,BRICS
United States,USA,"Foreign direct investment, net outflows (% of GDP)",1974,0.33,G7
United Kingdom,GBR,"Foreign direct investment, net outflows (% of GDP)",1974,2.12,G7
Italy,ITA,"Foreign direct investment, net outflows (% of GDP)",1974,0.1,G7
Canada,CAN,"Foreign direct investment, net outflows (% of GDP)",1974,0.84,G7
Japan,JPN,"Foreign direct investment, net outflows (% of GDP)",1974,0.41,G7
France,FRA,"Foreign direct investment, net outflows (% of GDP)",1974,0.27,G7
Germany,DEU,"Foreign direct investment, net outflows (% of GDP)",1974,0.48,G7
India,IND,GDP (current US$),1974,99526597934.0,BRICS
